temperature,humidity,ph,rainfall,soil_moisture,nitrogen,phosphorus,potassium,crop
25,60,6.5,80,70,50,40,30,Rice
30,70,7.0,100,75,60,50,40,Wheat
22,55,6.0,60,65,45,35,25,Maize
28,65,6.8,90,72,55,45,35,Cotton
20,50,5.5,50,60,40,30,20,Barley
26,62,6.7,85,71,52,42,32,Soybean
24,58,6.3,75,68,48,38,28,Sugarcane
27,64,6.9,88,73,54,44,34,Pulses
23,56,6.2,70,67,47,37,27,Millet
29,68,7.1,95,74,58,48,38,Groundnut
21,52,5.8,55,62,42,32,22,Potato
31,72,7.2,105,76,62,52,42,Tomato
25,61,6.6,82,70,51,41,31,Rice
30,69,7.0,98,75,59,49,39,Wheat
22,54,6.1,62,65,46,36,26,Maize
28,66,6.8,92,72,56,46,36,Cotton
20,51,5.6,52,60,41,31,21,Barley
26,63,6.7,86,71,53,43,33,Soybean
24,59,6.4,76,68,49,39,29,Sugarcane
27,65,6.9,89,73,55,45,35,Pulses
23,57,6.2,71,67,48,38,28,Millet
29,67,7.1,96,74,57,47,37,Groundnut
21,53,5.9,56,62,43,33,23,Potato
31,71,7.2,104,76,61,51,41,Tomato
25,60,6.5,81,70,50,40,30,Rice
30,70,7.0,99,75,60,50,40,Wheat
22,55,6.0,61,65,45,35,25,Maize
28,65,6.8,91,72,55,45,35,Cotton
20,50,5.5,51,60,40,30,20,Barley
26,62,6.7,87,71,52,42,32,Soybean
24,58,6.3,77,68,48,38,28,Sugarcane
27,64,6.9,90,73,54,44,34,Pulses
23,56,6.2,72,67,47,37,27,Millet
29,68,7.1,97,74,58,48,38,Groundnut
21,52,5.8,57,62,42,32,22,Potato
31,72,7.2,106,76,62,52,42,Tomato
25,61,6.6,83,70,51,41,31,Rice
30,69,7.0,100,75,59,49,39,Wheat
22,54,6.1,63,65,46,36,26,Maize
28,66,6.8,93,72,56,46,36,Cotton
20,51,5.7,53,61,41,31,21,Barley
26,63,6.7,88,71,53,43,33,Soybean
24,59,6.4,78,68,49,39,29,Sugarcane
27,65,6.9,91,73,55,45,35,Pulses
23,57,6.2,73,67,48,38,28,Millet
29,67,7.1,98,74,57,47,37,Groundnut
21,53,5.9,58,62,43,33,23,Potato
31,71,7.2,107,76,61,51,41,Tomato
25,61,6.6,84,70,51,41,31,Rice
30,69,7.0,101,75,59,49,39,Wheat
22,54,6.1,64,65,46,36,26,Maize
28,66,6.8,94,72,56,46,36,Cotton
20,50,5.5,54,60,40,30,20,Barley
26,62,6.7,89,71,52,42,32,Soybean
24,58,6.3,79,68,48,38,28,Sugarcane
27,64,6.9,92,73,54,44,34,Pulses
23,56,6.2,74,67,47,37,27,Millet
29,68,7.1,99,74,58,48,38,Groundnut
21,52,5.8,59,62,42,32,22,Potato
